,Actual,Predicted,Error,TA,SW_IN,VPD_PI,P,hour,Error_Percentage
1970-01-01 00:00:00.000141849,-54.886,1.4049685120316786,56.29096851203168,22.0,54,0.0,0.0,0,102.55979395844419
1970-01-01 00:00:00.000124509,56.546,0.9686726294918627,55.57732737050814,8.7,-1,0.111,0.0,0,98.28692988099624
1970-01-01 00:00:00.000149197,54.523,-0.9689132583359905,55.49191325833599,7.2,0,0.0,0.0,0,101.77707253514295
1970-01-01 00:00:00.000124579,-54.386,0.7925557160945133,55.178555716094515,7.0,0,0.0,0.0,0,101.45727892489704
1970-01-01 00:00:00.000133340,-54.636,0.3850654321579991,55.021065432158004,9.8,10,0.0,0.0,0,100.70478335192547
1970-01-01 00:00:00.000135463,52.91,-1.9865654559587111,54.89656545595871,-5.8,48,0.0,0.0,0,103.75461246637443
1970-01-01 00:00:00.000139899,3.114,-51.568696184324466,54.68269618432446,23.2,626,0.737,0.0,0,1756.0274946796553
1970-01-01 00:00:00.000143412,-53.568,1.107221874721305,54.6752218747213,16.5,496,0.044,0.0,0,102.06694645071927
1970-01-01 00:00:00.000139943,4.569,-49.98323641201109,54.55223641201109,24.8,666,0.714,0.0,0,1193.9644651348456
1970-01-01 00:00:00.000120004,52.16,-1.2939199931887058,53.453919993188705,0.5,-1,0.022,0.0,0,102.4806748335673
1970-01-01 00:00:00.000126475,41.25,-11.867979865983706,53.117979865983706,23.4,205,0.006,0.0,0,128.77086028117262
1970-01-01 00:00:00.000125241,51.637,-1.0484913819745338,52.685491381974536,14.1,98,0.028,0.0,0,102.03050406099219
1970-01-01 00:00:00.000139944,4.319,-48.048973787582995,52.367973787583,25.1,628,0.759,0.0,0,1212.5022872790692
1970-01-01 00:00:00.000127706,-47.84,4.010691609727969,51.850691609727974,20.1,0,0.0,0.0,0,108.38355269591966
1970-01-01 00:00:00.000139901,7.91,-43.80443295032957,51.71443295032957,23.5,572,0.791,0.0,0,653.7854987399439
1970-01-01 00:00:00.000137292,-53.795,-2.258725328999475,51.53627467100053,15.3,320,0.034,0.0,0,95.80123556278562
1970-01-01 00:00:00.000122569,-50.113,0.37888631932621486,50.49188631932621,4.1,0,0.0,0.0,0,100.7560639341612
1970-01-01 00:00:00.000132364,-50.181,0.24073485902013958,50.421734859020134,4.6,1,0.202,0.0,0,100.4797330842752
1970-01-01 00:00:00.000129020,-46.659,3.4546032950640155,50.11360329506402,16.9,5,0.012,0.0,0,107.4039377077606
1970-01-01 00:00:00.000148339,50.296,0.185725295773212,50.11027470422679,2.2,37,0.0,0.0,0,99.63073545456257
1970-01-01 00:00:00.000132855,-52.681,-2.80819790259024,49.87280209740976,-2.1,-3,0.0,0.0,0,94.66942939088051
1970-01-01 00:00:00.000149195,-50.522,-0.685832342173387,49.836167657826614,9.8,0,0.233,0.0,0,98.6425075369673
1970-01-01 00:00:00.000120237,-48.863,0.8610736145235803,49.72407361452358,2.6,32,0.0,0.0,0,101.76222011444975
1970-01-01 00:00:00.000122823,-47.704,1.8676418704056812,49.571641870405685,7.5,98,0.0,0.0,0,103.91506345464884
